Steps,Episode number,Episode reward,Episode reward irl,Episode reward combined
977,535,94.65607477,94.65607477,94.65607477
962,536,94.57089552,94.57089552,94.57089552
1051,537,94.54376164,94.54376164,94.54376164
622,538,94.42750929,94.42750929,94.42750929
831,539,94.31725417,94.31725417,94.31725417
1284,540,94.37777778,94.37777778,94.37777778
1058,541,94.35859519,94.35859519,94.35859519
1099,542,94.37453875,94.37453875,94.37453875
570,543,94.25230203,94.25230203,94.25230203
894,544,94.22242647,94.22242647,94.22242647
988,545,94.13394495,94.13394495,94.13394495
1002,546,94.06227106,94.06227106,94.06227106
1142,547,94.03473492,94.03473492,94.03473492
1437,548,94.49087591,94.49087591,94.49087591
1527,549,94.96357013,94.96357013,94.96357013
1681,550,95.41636364,95.41636364,95.41636364
990,551,95.39564428,95.39564428,95.39564428
1126,552,95.42028986,95.42028986,95.42028986
1407,553,95.82640145,95.82640145,95.82640145
1150,554,95.81046931,95.81046931,95.81046931
1276,555,95.97837838,95.97837838,95.97837838
1556,556,96.45143885,96.45143885,96.45143885
734,557,96.31956912,96.31956912,96.31956912
904,558,96.20250896,96.20250896,96.20250896
1641,559,96.72093023,96.72093023,96.72093023
838,560,96.59642857,96.59642857,96.59642857
1040,561,96.51158645,96.51158645,96.51158645
1298,562,96.8024911,96.8024911,96.8024911
1027,563,96.74245115,96.74245115,96.74245115
1078,564,96.67198582,96.67198582,96.67198582
982,565,96.60530973,96.60530973,96.60530973
1082,566,96.55477032,96.55477032,96.55477032
1101,567,96.50617284,96.50617284,96.50617284
1156,568,96.47007042,96.47007042,96.47007042
1373,569,96.65202109,96.65202109,96.65202109
1157,570,96.62807018,96.62807018,96.62807018
1529,571,96.91768827,96.91768827,96.91768827
1484,572,97.35664336,97.35664336,97.35664336
1471,573,97.72774869,97.72774869,97.72774869
1385,574,98.04181185,98.04181185,98.04181185
1131,575,98.08173913,98.08173913,98.08173913
1479,576,98.48263889,98.48263889,98.48263889
2675,577,98.87175043,98.87175043,98.87175043
1397,578,99.24048443,99.24048443,99.24048443
951,579,99.11917098,99.11917098,99.11917098
1343,580,99.35689655,99.35689655,99.35689655
1505,581,99.72461274,99.72461274,99.72461274
2153,582,100.1752577,100.1752577,100.1752577
990,583,100.0754717,100.0754717,100.0754717
1076,584,100.0325342,100.0325342,100.0325342
1182,585,100.0752137,100.0752137,100.0752137
1151,586,100.109215,100.109215,100.109215
1478,587,100.4872232,100.4872232,100.4872232
1080,588,100.4438776,100.4438776,100.4438776
1487,589,100.8488964,100.8488964,100.8488964
1062,590,100.8033898,100.8033898,100.8033898
1252,591,101.0490694,101.0490694,101.0490694
1109,592,100.9746622,100.9746622,100.9746622
780,593,100.9173693,100.9173693,100.9173693
1115,594,101.03367,101.03367,101.03367
680,595,101,101,101
1878,596,101.4798658,101.4798658,101.4798658
1300,597,101.520938,101.520938,101.520938
1428,598,101.8929766,101.8929766,101.8929766
1277,599,101.9098497,101.9098497,101.9098497
1382,600,102.2483333,102.2483333,102.2483333
1611,601,102.6622296,102.6622296,102.6622296
1214,602,102.8405316,102.8405316,102.8405316
1478,603,103.2072968,103.2072968,103.2072968
644,604,103.0645695,103.0645695,103.0645695
588,605,102.9157025,102.9157025,102.9157025
1488,606,103.2986799,103.2986799,103.2986799
1472,607,103.645799,103.645799,103.645799
1470,608,104.0493421,104.0493421,104.0493421
1523,609,104.4581281,104.4581281,104.4581281
1727,610,104.9016393,104.9016393,104.9016393
824,611,104.7757774,104.7757774,104.7757774
1415,612,105.0441176,105.0441176,105.0441176
1527,613,105.4502447,105.4502447,105.4502447
1478,614,105.8469055,105.8469055,105.8469055
1579,615,106.2422764,106.2422764,106.2422764
825,616,106.112013,106.112013,106.112013
1497,617,106.5024311,106.5024311,106.5024311
1399,618,106.8300971,106.8300971,106.8300971
1645,619,107.174475,107.174475,107.174475
1556,620,107.5677419,107.5677419,107.5677419
1415,621,107.9259259,107.9259259,107.9259259
1199,622,108.0466238,108.0466238,108.0466238
1052,623,108.0080257,108.0080257,108.0080257
444,624,107.849359,107.849359,107.849359
995,625,107.7664,107.7664,107.7664
1152,626,107.884984,107.884984,107.884984
